"ensembl_id","baseMean","log2FoldChange","pvalue","padj","Gene.name","Gene.type","avg_cpm.LNCAP_Hypoxia_S1","avg_cpm.LNCAP_Hypoxia_S2","avg_cpm.LNCAP_Normoxia_S1","avg_cpm.LNCAP_Normoxia_S2"
"ENSG00000287448",4.596383e+01, 4.7415457, 3.973771e-11, 1.018441e-09,"","lncRNA",1.904540e+00,2.584869e+00,7.843531e-02,8.618762e-02
"ENSG00000150594",2.649934e+03, 4.6668585,2.374858e-204,9.714118e-201,"ADRA2A","protein_coding",1.326736e+02,1.255015e+02,4.104781e+00,5.839211e+00
"ENSG00000179111",1.856209e+01, 4.6280227, 2.503877e-05, 2.251948e-04,"HES7","protein_coding",1.064302e+00,7.385339e-01,5.229021e-02,2.154691e-02
"ENSG00000279619",1.773144e+01, 4.6216204, 4.106263e-05, 3.470302e-04,"","TEC",8.682460e-01,8.616229e-01,0.000000e+00,6.464072e-02
"ENSG00000289131",1.823333e+01, 4.6055716, 3.475466e-05, 3.004236e-04,"","lncRNA",6.161746e-01,1.157036e+00,5.229021e-02,2.154691e-02
"ENSG00000124157",4.675852e+02, 4.5369073, 1.184586e-72, 5.047323e-70,"SEMG2","protein_coding",1.960556e+01,2.582407e+01,8.104982e-01,1.098892e+00
"ENSG00000269516",8.380790e+01, 4.3800523, 3.335252e-18, 1.726900e-16,"CYP4F23P","transcribed_unprocessed_pseudogene",3.977127e+00,4.111172e+00,2.614510e-01,1.292814e-01
"ENSG00000265907",8.668684e+01, 4.3671905, 7.691710e-19, 4.240185e-17,"","lncRNA",4.509278e+00,3.864994e+00,1.568706e-01,2.370160e-01
"ENSG00000111181",9.497947e+01, 4.3201019, 2.076411e-20, 1.260141e-18,"SLC6A12","protein_coding",4.257206e+00,4.898941e+00,2.614510e-01,1.939221e-01
"ENSG00000186526",1.228706e+02, 4.3033485, 7.815116e-26, 6.919253e-24,"CYP4F8","protein_coding",5.713619e+00,6.129831e+00,2.875961e-01,3.016567e-01
"ENSG00000187867",1.941981e+01, 4.3029211, 1.952943e-05, 1.804862e-04,"PALM3","protein_coding",1.036294e+00,8.370051e-01,2.614510e-02,6.464072e-02
"ENSG00000253633",2.868344e+01, 4.2123473, 7.982903e-07, 1.024898e-05,"LINC03047","lncRNA",1.736492e+00,1.009330e+00,1.307255e-01,2.154691e-02
"ENSG00000143847",1.675926e+03, 4.1833232,1.493071e-150,2.348945e-147,"PPFIA4","protein_coding",8.531217e+01,7.552740e+01,3.712605e+00,4.955788e+00
"ENSG00000233251",7.731571e+01, 4.1756496, 8.544327e-17, 4.092473e-15,"","lncRNA",3.500992e+00,3.914230e+00,2.353059e-01,1.723752e-01
"ENSG00000029559",4.679479e+01, 4.0955349, 2.910411e-10, 6.718253e-09,"IBSP","protein_coding",1.652468e+00,2.831047e+00,1.045804e-01,1.508283e-01
"ENSG00000172243",1.409755e+03, 4.0946883,7.878706e-146,1.150966e-142,"CLEC7A","protein_coding",6.884351e+01,6.595108e+01,4.392377e+00,3.404411e+00
"ENSG00000131389",1.605592e+03, 4.0929441,6.052620e-136,8.252545e-133,"SLC6A6","protein_coding",8.265142e+01,7.082540e+01,5.072150e+00,3.813802e+00
"ENSG00000006606",2.515399e+01, 4.0756046, 1.995344e-06, 2.337273e-05,"CCL26","protein_coding",9.802778e-01,1.427832e+00,5.229021e-02,8.618762e-02
"ENSG00000168461",5.768843e+02, 4.0584256, 1.000523e-80, 6.018439e-78,"RAB31","protein_coding",3.044463e+01,2.464241e+01,1.542561e+00,1.702206e+00
"ENSG00000185633",6.634632e+03, 4.0553046, 1.065250e-15, 4.606025e-14,"NDUFA4L2","protein_coding",3.220072e+02,3.116121e+02,1.210518e+01,2.542535e+01
"ENSG00000228873",1.313085e+02, 4.0549413, 3.580814e-25, 3.051450e-23,"","lncRNA",6.077722e+00,6.449863e+00,4.967570e-01,2.585629e-01
"ENSG00000096088",2.012156e+03, 4.0488307,4.831692e-192,1.646963e-188,"PGC","protein_coding",9.419069e+01,9.792959e+01,5.961084e+00,5.472914e+00
"ENSG00000275591",1.359402e+02, 4.0473133, 2.139983e-23, 1.580034e-21,"XKR5","protein_coding",5.629595e+00,7.336103e+00,5.751923e-01,2.154691e-01
"ENSG00000054356",1.318734e+02, 4.0305856, 4.258135e-26, 3.836448e-24,"PTPRN","protein_coding",6.693897e+00,5.883653e+00,3.921766e-01,3.662974e-01
"ENSG00000107159",4.033555e+01, 4.0058495, 2.014927e-09, 4.064032e-08,"CA9","protein_coding",2.072587e+00,1.772481e+00,1.045804e-01,1.292814e-01
"ENSG00000186832",8.057136e+01, 3.9802075, 1.341333e-16, 6.335551e-15,"KRT16","protein_coding",3.725056e+00,3.938847e+00,3.137412e-01,1.723752e-01
"ENSG00000005108",5.934119e+01, 3.9781343, 5.952984e-13, 1.893475e-11,"THSD7A","protein_coding",2.576730e+00,3.077225e+00,1.568706e-01,1.939221e-01
"ENSG00000058335",1.259991e+02, 3.9648189, 6.785747e-25, 5.641549e-23,"RASGRF1","protein_coding",6.301786e+00,5.686711e+00,3.660315e-01,3.878443e-01
"ENSG00000280623",8.346526e+01, 3.9623496, 3.714339e-17, 1.821719e-15,"PCAT14","lncRNA",4.117167e+00,3.815758e+00,3.137412e-01,1.939221e-01
"ENSG00000253266",2.299803e+01, 3.9587272, 7.489435e-06, 7.655944e-05,"","lncRNA",1.036294e+00,1.157036e+00,2.614510e-02,1.077345e-01
"ENSG00000163749",1.941843e+01, 3.9236098, 3.278510e-05, 2.849642e-04,"CCDC158","protein_coding",9.802778e-01,8.616229e-01,7.843531e-02,4.309381e-02
"ENSG00000107954",1.873049e+01, 3.9185343, 4.955723e-05, 4.096785e-04,"NEURL1","protein_coding",8.962540e-01,8.862407e-01,2.614510e-02,8.618762e-02
"ENSG00000261649",2.319403e+01, 3.9036732, 1.224005e-05, 1.190930e-04,"GOLGA6L7","protein_coding",1.456413e+00,7.385339e-01,1.045804e-01,4.309381e-02
"ENSG00000308271",7.486286e+01, 3.8796258, 1.225856e-15, 5.234072e-14,"","lncRNA",3.500992e+00,3.594198e+00,2.614510e-01,2.154691e-01
"ENSG00000302198",4.458633e+01, 3.8562497, 7.565145e-10, 1.621827e-08,"","lncRNA",2.296651e+00,1.920188e+00,1.830157e-01,1.077345e-01
"ENSG00000196139",1.439783e+02, 3.8106167, 1.610616e-25, 1.401715e-23,"AKR1C3","protein_coding",6.805928e+00,6.819130e+00,3.137412e-01,6.248603e-01
"ENSG00000131016",4.643614e+03, 3.7982984,5.477495e-208,2.800643e-204,"AKAP12","protein_coding",2.249597e+02,2.136825e+02,1.414450e+01,1.682813e+01
"ENSG00000197520",1.032100e+03, 3.7695323,3.984160e-105,3.395168e-102,"FAM177B","protein_coding",5.217878e+01,4.512442e+01,3.921766e+00,3.124301e+00
"ENSG00000288993",1.073466e+02, 3.7179827, 1.195800e-20, 7.388671e-19,"","lncRNA",5.153460e+00,4.948177e+00,3.660315e-01,3.878443e-01
"ENSG00000286733",3.292386e+02, 3.7044518, 1.010291e-47, 2.198135e-45,"LINC02348","lncRNA",1.697281e+01,1.395829e+01,1.359545e+00,9.911576e-01
"ENSG00000139187",1.975625e+01, 3.7034099, 4.216736e-05, 3.544624e-04,"KLRG1","protein_coding",9.242619e-01,9.354763e-01,5.229021e-02,8.618762e-02
"ENSG00000159337",4.625381e+02, 3.6787319, 1.113535e-60, 3.733447e-58,"PLA2G4D","protein_coding",2.408683e+01,1.934959e+01,1.490271e+00,1.831487e+00
"ENSG00000115263",4.924637e+01, 3.6726962, 3.015481e-10, 6.945115e-09,"GCG","protein_coding",1.988563e+00,2.634104e+00,2.091608e-01,1.508283e-01
"ENSG00000122756",4.206225e+01, 3.6696344, 3.543762e-09, 6.837455e-08,"CNTFR","protein_coding",1.932548e+00,2.018659e+00,1.307255e-01,1.723752e-01
"ENSG00000163710",4.480077e+01, 3.6660299, 1.943988e-09, 3.928699e-08,"PCOLCE2","protein_coding",2.240635e+00,1.969424e+00,1.045804e-01,2.154691e-01
"ENSG00000041982",1.780566e+02, 3.6588091, 1.000731e-29, 1.065987e-27,"TNC","protein_coding",7.282063e+00,9.428616e+00,6.797727e-01,6.248603e-01
"ENSG00000069188",3.471240e+01, 3.6462600, 1.158300e-07, 1.748307e-06,"SDK2","protein_coding",1.708484e+00,1.550921e+00,7.843531e-02,1.723752e-01
"ENSG00000137801",3.714777e+03, 3.6391928,1.268455e-159,2.882494e-156,"THBS1","protein_coding",1.672634e+02,1.809162e+02,1.537332e+01,1.215245e+01
"ENSG00000164850",9.491983e+02, 3.6367620,4.173733e-104,3.414448e-101,"GPER1","protein_coding",4.391644e+01,4.507519e+01,3.085122e+00,3.921537e+00
"ENSG00000232079",2.987387e+02, 3.6245909, 1.212161e-41, 2.032059e-39,"LINC01697","lncRNA",1.352783e+01,1.442603e+01,1.437981e+00,8.187824e-01
"ENSG00000103528",6.994101e+01, 3.5999125, 1.147313e-12, 3.496995e-11,"SYT17","protein_coding",3.500992e+00,3.052607e+00,1.307255e-01,3.878443e-01
"ENSG00000143845",6.585966e+01, 3.5944918, 5.689201e-11, 1.425926e-09,"ETNK2","protein_coding",2.632746e+00,3.544963e+00,7.843531e-02,4.093912e-01
"ENSG00000198576",4.047683e+01, 3.5761991, 1.541287e-08, 2.680476e-07,"ARC","protein_coding",1.904540e+00,1.870953e+00,2.091608e-01,1.077345e-01
"ENSG00000227145",7.896887e+01, 3.5709497, 3.839241e-15, 1.544922e-13,"IL21-AS1","lncRNA",3.809079e+00,3.569580e+00,2.614510e-01,3.447505e-01
"ENSG00000148053",4.032320e+01, 3.5300371, 8.778776e-08, 1.353003e-06,"NTRK2","protein_coding",1.652468e+00,2.117130e+00,5.229021e-02,2.585629e-01
"ENSG00000163810",5.138190e+01, 3.5248467, 6.925518e-10, 1.497259e-08,"TGM4","protein_coding",2.072587e+00,2.707958e+00,2.875961e-01,1.292814e-01
"ENSG00000196154",4.446291e+01, 3.5209485, 2.728137e-09, 5.349555e-08,"S100A4","protein_coding",2.072587e+00,2.067895e+00,1.830157e-01,1.723752e-01
"ENSG00000064195",1.405024e+02, 3.4994497, 1.046632e-20, 6.486581e-19,"DLX3","protein_coding",7.590151e+00,5.489769e+00,3.660315e-01,7.541417e-01
"ENSG00000214049",2.253415e+02, 3.4935391, 4.559130e-35, 6.314846e-33,"UCA1","lncRNA",1.109114e+01,9.871736e+00,7.843531e-01,1.034251e+00
"ENSG00000140557",4.449316e+01, 3.4776540, 2.276772e-08, 3.881383e-07,"ST8SIA2","protein_coding",2.324659e+00,1.797099e+00,2.875961e-01,8.618762e-02
"ENSG00000236543",3.911258e+01, 3.4671560, 1.366385e-07, 2.031902e-06,"","protein_coding",2.184619e+00,1.452450e+00,7.843531e-02,2.370160e-01
"ENSG00000164188",1.477291e+03, 3.4669500,1.005131e-122,1.027847e-119,"RANBP3L","protein_coding",6.884351e+01,6.828977e+01,6.693147e+00,5.537555e+00
"ENSG00000100678",5.680420e+01, 3.4553280, 4.436481e-11, 1.127142e-09,"SLC8A3","protein_coding",2.856809e+00,2.412544e+00,2.353059e-01,2.370160e-01
"ENSG00000090539",8.410027e+01, 3.3823397, 8.754469e-15, 3.410407e-13,"CHRD","protein_coding",4.369238e+00,3.397256e+00,3.660315e-01,3.662974e-01
"ENSG00000100314",5.516947e+01, 3.3432767, 2.212807e-10, 5.225904e-09,"CABP7","protein_coding",2.772786e+00,2.314073e+00,2.091608e-01,2.801098e-01
"ENSG00000140465",3.015083e+02, 3.3075108, 4.256266e-40, 6.696088e-38,"CYP1A1","protein_coding",1.529233e+01,1.243199e+01,1.281110e+00,1.465190e+00
"ENSG00000253535",2.929623e+01, 3.2716205, 2.801072e-05, 2.483204e-04,"ADAM7-AS1","lncRNA",1.372389e+00,1.304743e+00,2.614510e-01,2.154691e-02
"ENSG00000069667",6.386238e+02, 3.2647383, 1.172663e-72, 5.047323e-70,"RORA","protein_coding",2.963240e+01,2.895053e+01,2.745236e+00,3.232036e+00
"ENSG00000287684",5.464326e+01, 3.2589195, 4.552510e-10, 1.017573e-08,"","lncRNA",2.380675e+00,2.634104e+00,2.091608e-01,3.016567e-01
"ENSG00000142611",3.276512e+01, 3.2534391, 1.114223e-06, 1.384453e-05,"PRDM16","protein_coding",1.400397e+00,1.600157e+00,1.830157e-01,1.292814e-01
"ENSG00000055813",9.140704e+01, 3.2375413, 1.956360e-15, 8.132412e-14,"CCDC85A","protein_coding",4.453262e+00,3.914230e+00,4.183217e-01,4.524850e-01
"ENSG00000275113",4.106102e+01, 3.2362086, 4.144726e-07, 5.617491e-06,"GAGE2E","protein_coding",2.408683e+00,1.353979e+00,1.045804e-01,2.801098e-01
"ENSG00000164683",4.041288e+02, 3.2330747, 1.290708e-52, 3.428254e-50,"HEY1","protein_coding",1.898938e+01,1.799561e+01,1.882447e+00,1.982315e+00
"ENSG00000145198",2.238497e+01, 3.2285775, 5.569825e-05, 4.534692e-04,"VWA5B2","protein_coding",1.036294e+00,1.009330e+00,1.307255e-01,8.618762e-02
"ENSG00000015568",3.868917e+01, 3.1720889, 3.536392e-05, 3.047884e-04,"RGPD5","protein_coding",2.996849e+00,5.169737e-01,2.353059e-01,1.508283e-01
"ENSG00000071575",6.125408e+01, 3.1655817, 1.383993e-10, 3.337905e-09,"TRIB2","protein_coding",2.408683e+00,3.175696e+00,2.875961e-01,3.232036e-01
"ENSG00000113389",2.375001e+02, 3.1620517, 3.726209e-32, 4.405112e-30,"NPR3","protein_coding",1.159529e+01,1.001944e+01,1.307255e+00,1.077345e+00
"ENSG00000166828",3.912217e+02, 3.1481117, 2.907763e-42, 5.039794e-40,"SCNN1G","protein_coding",2.036177e+01,1.521380e+01,1.987028e+00,1.960768e+00
"ENSG00000042980",2.694980e+02, 3.1391963, 2.163462e-33, 2.714547e-31,"ADAM28","protein_coding",1.083907e+01,1.366288e+01,1.542561e+00,1.206627e+00
"ENSG00000251636",2.555033e+01, 3.1364884, 2.289402e-05, 2.083663e-04,"LINC01218","lncRNA",1.092310e+00,1.230890e+00,1.307255e-01,1.292814e-01
"ENSG00000124233",2.811842e+02, 3.1357796, 2.824091e-29, 2.946852e-27,"SEMG1","protein_coding",1.008286e+01,1.548459e+01,1.647142e+00,1.228174e+00
"ENSG00000163106",3.966138e+01, 3.1203341, 2.617001e-07, 3.686150e-06,"HPGDS","protein_coding",1.652468e+00,1.944806e+00,2.614510e-01,1.508283e-01
"ENSG00000287050",6.125033e+01, 3.1052064, 1.737350e-10, 4.155823e-09,"","lncRNA",2.996849e+00,2.560251e+00,2.875961e-01,3.447505e-01
"ENSG00000135919",9.906246e+02, 3.0970524, 4.673598e-65, 1.676920e-62,"SERPINE2","protein_coding",4.285214e+01,4.701999e+01,4.078636e+00,6.205509e+00
"ENSG00000158406",1.096939e+04, 3.0954774,6.003436e-175,1.534779e-171,"H4C8","protein_coding",5.225721e+02,4.715293e+02,5.830358e+01,5.610814e+01
"ENSG00000273521",1.786607e+02, 3.0782971, 9.392800e-25, 7.746030e-23,"","lncRNA",7.842222e+00,8.320815e+00,1.098094e+00,7.972355e-01
"ENSG00000115556",2.245766e+01, 3.0746414, 9.031982e-05, 6.900339e-04,"PLCD4","protein_coding",9.242619e-01,1.107801e+00,1.307255e-01,1.077345e-01
"ENSG00000174358",1.061186e+02, 3.0633391, 1.721565e-16, 8.075561e-15,"SLC6A19","protein_coding",4.677325e+00,4.923559e+00,5.229021e-01,6.033133e-01
"ENSG00000109205",5.337593e+02, 3.0600263, 1.556735e-46, 3.215994e-44,"ODAM","protein_coding",2.489906e+01,2.331305e+01,3.503444e+00,2.219331e+00
"ENSG00000248485",4.373815e+01, 3.0573819, 7.874804e-08, 1.222897e-06,"PCP4L1","protein_coding",1.988563e+00,1.969424e+00,1.830157e-01,2.801098e-01
"ENSG00000130822",5.886764e+01, 3.0550690, 1.038357e-09, 2.187073e-08,"PNCK","protein_coding",2.912825e+00,2.412544e+00,2.353059e-01,3.878443e-01
"ENSG00000104419",3.132786e+04, 3.0501347,1.729950e-157,3.216449e-154,"NDRG1","protein_coding",1.497948e+03,1.331675e+03,1.565569e+02,1.795504e+02
"ENSG00000043039",1.370488e+02, 3.0279553, 9.809888e-20, 5.711888e-18,"BARX2","protein_coding",6.693897e+00,5.662093e+00,7.582080e-01,7.325948e-01
"ENSG00000298809",5.824300e+01, 3.0178902, 7.562642e-10, 1.621827e-08,"","lncRNA",2.688762e+00,2.560251e+00,3.137412e-01,3.232036e-01
"ENSG00000188263",2.749250e+01, 3.0117813, 2.371824e-05, 2.151155e-04,"IL17REL","protein_coding",1.176333e+00,1.304743e+00,1.045804e-01,1.939221e-01
"ENSG00000228496",3.067142e+01, 3.0022613, 2.262568e-05, 2.060287e-04,"","lncRNA",1.792508e+00,9.600941e-01,2.353059e-01,1.077345e-01
"ENSG00000301902",4.416763e+01, 2.9969230, 1.308736e-07, 1.955169e-06,"","lncRNA",2.156611e+00,1.821717e+00,1.830157e-01,3.016567e-01
"ENSG00000261594",1.148060e+02, 2.9956107, 5.058504e-15, 2.012773e-13,"TPBGL","protein_coding",5.713619e+00,4.628146e+00,4.183217e-01,8.403293e-01
"ENSG00000075461",2.404849e+02, 2.9898855, 4.471235e-27, 4.253288e-25,"CACNG4","protein_coding",1.181935e+01,9.822501e+00,1.019659e+00,1.637565e+00
"ENSG00000170379",1.939739e+02, 2.9863279, 4.181856e-23, 2.990466e-21,"TCAF2","protein_coding",9.550706e+00,7.902313e+00,8.104982e-01,1.335908e+00
"ENSG00000115414",5.795009e+04, 2.9454002,1.042744e-121,9.693725e-119,"FN1","protein_coding",2.647254e+03,2.545554e+03,3.713389e+02,2.914219e+02
"ENSG00000114268",2.816999e+03, 2.9135165,1.110506e-122,1.081528e-119,"PFKFB4","protein_coding",1.281643e+02,1.236552e+02,1.534718e+01,1.749609e+01
"ENSG00000170525",4.550281e+03, 2.8845202,4.194793e-130,5.046583e-127,"PFKFB3","protein_coding",2.130284e+02,1.926343e+02,2.813213e+01,2.592093e+01
"ENSG00000092969",6.977253e+01, 2.8815673, 9.095602e-11, 2.235857e-09,"TGFB2","protein_coding",3.164897e+00,3.052607e+00,4.444668e-01,3.878443e-01
"ENSG00000125629",3.929678e+03, 2.8583670,1.567168e-116,1.393553e-113,"INSIG2","protein_coding",1.872891e+02,1.622559e+02,2.452411e+01,2.290436e+01
"ENSG00000196091",1.170196e+03, 2.8521198, 9.203086e-77, 4.590768e-74,"MYBPC1","protein_coding",5.243086e+01,5.159890e+01,7.869676e+00,6.334790e+00
"ENSG00000175874",3.795829e+01, 2.8483125, 3.408293e-06, 3.782225e-05,"CREG2","protein_coding",1.708484e+00,1.674010e+00,1.307255e-01,3.232036e-01
"ENSG00000272870",2.930336e+02, 2.8306341, 1.401763e-32, 1.676541e-30,"SAP30-DT","lncRNA",1.408799e+01,1.191501e+01,1.830157e+00,1.766846e+00
"ENSG00000307441",2.524447e+01, 2.8298073, 9.789492e-05, 7.385271e-04,"","lncRNA",1.008286e+00,1.230890e+00,1.830157e-01,1.292814e-01
"ENSG00000115474",3.137739e+01, 2.8275906, 1.941408e-05, 1.797450e-04,"KCNJ13","protein_coding",1.400397e+00,1.378597e+00,2.614510e-01,1.292814e-01
"ENSG00000101938",2.703987e+01, 2.8125381, 6.328292e-05, 5.081516e-04,"CHRDL1","protein_coding",1.260357e+00,1.132419e+00,2.091608e-01,1.292814e-01
"ENSG00000299848",1.010373e+02, 2.8008215, 8.273158e-14, 2.922325e-12,"","lncRNA",4.425254e+00,4.529675e+00,5.229021e-01,7.325948e-01
"ENSG00000249244",4.192587e+01, 2.7938886, 1.147337e-06, 1.420428e-05,"","unprocessed_pseudogene",2.128603e+00,1.575539e+00,3.137412e-01,2.154691e-01
"ENSG00000006025",5.011022e+01, 2.7928810, 4.482694e-06, 4.840553e-05,"OSBPL7","protein_coding",1.988563e+00,2.461780e+00,7.843531e-02,5.386726e-01
"ENSG00000227036",2.486771e+02, 2.7827215, 1.542562e-28, 1.569576e-26,"LINC00511","lncRNA",1.089509e+01,1.110263e+01,1.385691e+00,1.745299e+00
"ENSG00000260400",4.833561e+01, 2.7694434, 2.150633e-07, 3.082099e-06,"","lncRNA",2.492706e+00,1.772481e+00,3.137412e-01,3.016567e-01
"ENSG00000196968",1.502868e+03, 2.7641117, 1.250685e-90, 8.526338e-88,"FUT11","protein_coding",6.917960e+01,6.344006e+01,9.569108e+00,9.631467e+00
"ENSG00000144481",2.119242e+03, 2.7426473, 5.482788e-70, 2.156423e-67,"TRPM8","protein_coding",9.427471e+01,9.234135e+01,1.602695e+01,1.144141e+01
"ENSG00000257989",3.579962e+01, 2.7403163, 1.224813e-05, 1.191149e-04,"","lncRNA",1.876532e+00,1.280125e+00,1.568706e-01,3.016567e-01
