"ensembl_id","baseMean","log2FoldChange","pvalue","padj","Gene.name","Gene.type","avg_cpm.PC3_Hypoxia_S1","avg_cpm.PC3_Hypoxia_S2","avg_cpm.PC3_Normoxia_S1","avg_cpm.PC3_Normoxia_S2"
"ENSG00000198406",   33.07046, 4.7409358, 1.105994e-09, 3.079041e-08,"BZW1P2","processed_pseudogene",3.172104e+00,2.375449e+00,7.741452e-02,1.313100e-01
"ENSG00000265735",  539.57247, 4.7199223,1.073042e-113,9.858103e-111,"RN7SL5P","misc_RNA",4.416545e+01,4.655881e+01,1.470876e+00,2.074697e+00
"ENSG00000260747",   91.23353, 4.6468245, 2.266924e-23, 2.094960e-21,"","processed_pseudogene",8.404721e+00,6.809621e+00,3.870726e-01,3.151439e-01
"ENSG00000125735",   33.62646, 4.5445545, 8.745543e-10, 2.477006e-08,"TNFSF14","protein_coding",3.090768e+00,2.533813e+00,7.741452e-02,1.575719e-01
"ENSG00000144476",  415.77678, 4.5320185, 1.568867e-81, 6.806269e-79,"ACKR3","protein_coding",2.944363e+01,4.022427e+01,1.548290e+00,1.680767e+00
"ENSG00000104419",38297.15355, 4.5118525, 0.000000e+00, 0.000000e+00,"NDRG1","protein_coding",3.145128e+03,3.240034e+03,1.656671e+02,1.479338e+02
"ENSG00000249489",   68.61489, 4.4836634, 1.424942e-17, 8.693261e-16,"GAPDHP70","processed_pseudogene",4.663264e+00,6.809621e+00,3.096581e-01,2.626199e-01
"ENSG00000300430",   31.71738, 4.4365865, 3.073783e-09, 8.081877e-08,"","lncRNA",2.385856e+00,2.929721e+00,7.741452e-02,1.575719e-01
"ENSG00000165507", 1947.83782, 4.3085005,4.052085e-297,2.109515e-293,"DEPP1","protein_coding",1.564363e+02,1.664398e+02,9.444572e+00,8.718981e+00
"ENSG00000124731",  440.40250, 4.2490919, 3.459118e-91, 1.543557e-88,"TREM1","protein_coding",3.481181e+01,3.824473e+01,1.780534e+00,2.258531e+00
"ENSG00000124785",   48.36952, 4.0874021, 2.461402e-12, 9.586579e-11,"NRN1","protein_coding",3.687232e+00,4.196627e+00,4.644871e-01,1.575719e-01
"ENSG00000201901",   46.72733, 3.9982847, 3.235741e-12, 1.232581e-10,"RN7SKP48","misc_RNA",3.822792e+00,3.879900e+00,1.548290e-01,3.151439e-01
"ENSG00000280719",  121.50093, 3.9592469, 1.091025e-27, 1.191583e-25,"PCAT5","lncRNA",8.730065e+00,1.124379e+01,6.193162e-01,7.353357e-01
"ENSG00000166828",  595.60310, 3.9386041, 4.501211e-32, 5.579359e-30,"SCNN1G","protein_coding",3.999020e+01,5.756505e+01,4.412628e+00,2.862557e+00
"ENSG00000244642",  161.17274, 3.9335299, 8.413540e-34, 1.123100e-31,"RN7SL396P","misc_RNA",1.342044e+01,1.306497e+01,5.419017e-01,1.155528e+00
"ENSG00000196205",   70.17073, 3.8306858, 4.392931e-17, 2.618657e-15,"EEF1A1P5","processed_pseudogene",5.829080e+00,5.542715e+00,5.419017e-01,3.939299e-01
"ENSG00000240418",   33.57154, 3.8280972, 5.890017e-09, 1.481325e-07,"","processed_pseudogene",2.412968e+00,3.088084e+00,1.548290e-01,2.363579e-01
"ENSG00000147689",   36.29150, 3.8222017, 1.806803e-09, 4.924720e-08,"FAM83A","protein_coding",2.548528e+00,3.404811e+00,1.548290e-01,2.626199e-01
"ENSG00000289901", 2889.47699, 3.8015822,2.589627e-274,1.011120e-270,"","lncRNA",2.227793e+02,2.463341e+02,2.183090e+01,1.654505e+01
"ENSG00000143847",  114.51689, 3.8004487, 1.817093e-25, 1.807602e-23,"PPFIA4","protein_coding",8.214937e+00,1.037280e+01,9.289743e-01,6.302878e-01
"ENSG00000108417",   35.49574, 3.7997889, 2.131411e-09, 5.709843e-08,"KRT37","protein_coding",2.792536e+00,3.008902e+00,1.548290e-01,2.626199e-01
"ENSG00000285523",   93.51222, 3.7076938, 1.553993e-21, 1.284141e-19,"","lncRNA",7.130457e+00,7.997346e+00,6.967307e-01,6.040258e-01
"ENSG00000218582",   91.03262, 3.6461964, 9.406701e-21, 7.382606e-19,"GAPDHP63","processed_pseudogene",7.103344e+00,7.601438e+00,6.193162e-01,6.565498e-01
"ENSG00000113083",  510.73143, 3.6322829, 1.089025e-93, 5.154059e-91,"LOX","protein_coding",3.952930e+01,4.275809e+01,3.948141e+00,3.492845e+00
"ENSG00000271029",   31.45405, 3.6296924, 3.493368e-08, 7.673617e-07,"","processed_pseudogene",2.711200e+00,2.375449e+00,1.548290e-01,2.626199e-01
"ENSG00000249072",   52.43054, 3.6190154, 6.128492e-12, 2.268123e-10,"","processed_pseudogene",3.470336e+00,5.067625e+00,2.322436e-01,4.464538e-01
"ENSG00000104327",  117.68074, 3.5401421, 2.038793e-20, 1.560876e-18,"CALB1","protein_coding",1.184794e+01,6.967984e+00,6.967307e-01,1.024218e+00
"ENSG00000168447",   70.09915, 3.5010763, 2.526358e-15, 1.272796e-13,"SCNN1B","protein_coding",4.744600e+00,6.492895e+00,6.193162e-01,4.989778e-01
"ENSG00000135245",  846.54692, 3.4995063,8.023221e-115,7.831667e-112,"HILPDA","protein_coding",7.173836e+01,6.358286e+01,6.347991e+00,6.801856e+00
"ENSG00000227008",  187.11982, 3.4523103, 8.306052e-37, 1.271803e-34,"RPS24P19","processed_pseudogene",1.447781e+01,1.528206e+01,1.857949e+00,1.313100e+00
"ENSG00000230629",   45.19338, 3.4059261, 2.651558e-10, 7.994602e-09,"RPS23P8","processed_pseudogene",3.795680e+00,3.325629e+00,5.419017e-01,2.888819e-01
"ENSG00000281181",  206.62035, 3.4018343, 1.501746e-38, 2.417966e-36,"","lncRNA",1.754147e+01,1.528206e+01,1.703119e+00,1.733291e+00
"ENSG00000275803",  122.75838, 3.3829791, 1.064017e-24, 1.038613e-22,"RN7SL736P","misc_RNA",9.055409e+00,1.053116e+01,9.289743e-01,1.076742e+00
"ENSG00000170379",  217.67218, 3.3040348, 1.001858e-38, 1.629898e-36,"TCAF2","protein_coding",1.621298e+01,1.837014e+01,1.625705e+00,2.074697e+00
"ENSG00000231991",   95.35800, 3.2541565, 8.882856e-19, 5.979847e-17,"ANXA2P2","processed_pseudogene",7.266017e+00,7.680619e+00,1.161218e+00,7.090737e-01
"ENSG00000263968",   71.33730, 3.1649885, 8.459602e-14, 3.732262e-12,"RN7SL381P","misc_RNA",5.856192e+00,5.384352e+00,4.644871e-01,8.141217e-01
"ENSG00000151834",   35.41642, 3.1526840, 7.041189e-08, 1.478082e-06,"GABRA2","protein_coding",2.385856e+00,3.167266e+00,3.870726e-01,3.151439e-01
"ENSG00000044524",  176.27748, 3.1451853, 1.412822e-29, 1.646675e-27,"EPHA3","protein_coding",1.325777e+01,1.449024e+01,1.316047e+00,1.943387e+00
"ENSG00000162373",   79.09080, 3.1403529, 4.344521e-15, 2.147238e-13,"BEND5","protein_coding",6.696664e+00,5.701078e+00,6.193162e-01,8.666457e-01
"ENSG00000132470", 1803.17465, 3.1316235,9.978990e-153,1.731687e-149,"ITGB4","protein_coding",1.263690e+02,1.559878e+02,1.857949e+01,1.722787e+01
"ENSG00000159167", 2938.43094, 3.1154752,8.909089e-225,2.782843e-221,"STC1","protein_coding",2.333259e+02,2.247175e+02,3.158513e+01,2.783771e+01
"ENSG00000168621",   38.32487, 3.0886773, 3.677165e-08, 8.032163e-07,"GDNF","protein_coding",3.416112e+00,2.533813e+00,3.870726e-01,3.939299e-01
"ENSG00000123999",   40.90085, 3.0433840, 1.198420e-08, 2.827330e-07,"INHA","protein_coding",3.199216e+00,3.167266e+00,3.870726e-01,4.464538e-01
"ENSG00000105877",  299.41077, 3.0395957, 5.125017e-45, 9.881793e-43,"DNAH11","protein_coding",2.475326e+01,2.169577e+01,3.019166e+00,3.203963e+00
"ENSG00000184368",  854.67316, 3.0325963,8.862386e-108,7.284881e-105,"MAP7D2","protein_coding",6.490613e+01,6.785867e+01,8.825256e+00,9.034125e+00
"ENSG00000181458", 1830.39010, 2.9702132,9.347158e-170,1.824799e-166,"TMEM45A","protein_coding",1.419584e+02,1.405474e+02,2.059226e+01,1.959144e+01
"ENSG00000228169",   39.33680, 2.8846086, 7.027552e-08, 1.477205e-06,"PPIAP19","processed_pseudogene",3.172104e+00,2.850539e+00,4.644871e-01,4.464538e-01
"ENSG00000294870",   60.49295, 2.8826145, 5.203762e-11, 1.729199e-09,"","lncRNA",4.012576e+00,5.305170e+00,6.967307e-01,6.828118e-01
"ENSG00000177181",  902.95686, 2.8803012, 2.366714e-98, 1.320119e-95,"RIMKLA","protein_coding",6.834936e+01,6.967984e+01,1.230891e+01,9.191697e+00
"ENSG00000121966",   49.08384, 2.8683675, 2.924415e-09, 7.728174e-08,"CXCR4","protein_coding",3.904128e+00,3.642356e+00,4.644871e-01,6.302878e-01
"ENSG00000134107", 4273.03866, 2.8567663,3.109923e-219,8.095129e-216,"BHLHE40","protein_coding",3.059047e+02,3.482409e+02,5.364826e+01,4.742915e+01
"ENSG00000125629",  726.61503, 2.8542993, 3.443245e-67, 1.075532e-64,"INSIG2","protein_coding",5.848059e+01,5.281416e+01,7.276965e+00,9.375531e+00
"ENSG00000183691", 2310.09809, 2.8502057, 3.959877e-33, 5.111187e-31,"NOG","protein_coding",1.998968e+02,1.521079e+02,2.709508e+01,2.752257e+01
"ENSG00000176171", 2849.73578, 2.8488890,1.552016e-192,3.462770e-189,"BNIP3","protein_coding",2.171400e+02,2.185413e+02,3.390756e+01,3.332647e+01
"ENSG00000114268", 1775.32705, 2.8459087,3.390772e-140,4.814279e-137,"PFKFB4","protein_coding",1.301918e+02,1.407850e+02,2.438557e+01,1.851470e+01
"ENSG00000286048",   26.70392, 2.8300651, 1.303089e-05, 1.693148e-04,"","lncRNA",2.196072e+00,1.900359e+00,2.322436e-01,3.676679e-01
"ENSG00000201758",  112.76737, 2.8281747, 1.273011e-18, 8.532996e-17,"RN7SKP55","misc_RNA",8.323385e+00,8.947526e+00,1.238632e+00,1.391885e+00
"ENSG00000258667",  684.23009, 2.8210453, 5.464487e-70, 1.815838e-67,"HIF1A-AS3","lncRNA",5.465780e+01,4.917180e+01,9.986473e+00,7.038213e+00
"ENSG00000204792",   47.84997, 2.8018056, 1.072840e-08, 2.558109e-07,"LINC01291","lncRNA",3.090768e+00,4.196627e+00,6.967307e-01,4.989778e-01
"ENSG00000069667",  597.72921, 2.7919445, 9.586979e-66, 2.825084e-63,"RORA","protein_coding",4.888294e+01,4.180791e+01,7.664038e+00,7.064475e+00
"ENSG00000186907",   89.28538, 2.7841941, 1.211526e-14, 5.751251e-13,"RTN4RL2","protein_coding",7.374465e+00,6.176168e+00,1.083803e+00,1.103004e+00
"ENSG00000145040",  443.08849, 2.7831568, 6.808905e-59, 1.898955e-56,"UCN2","protein_coding",3.334776e+01,3.404811e+01,5.496431e+00,5.357446e+00
"ENSG00000147852",  280.02872, 2.7530551, 2.136640e-39, 3.512636e-37,"VLDLR","protein_coding",2.068646e+01,2.185413e+01,3.406239e+00,3.519107e+00
"ENSG00000248323",  567.27533, 2.7356244, 3.469190e-64, 1.003367e-61,"LUCAT1","lncRNA",4.009865e+01,4.608372e+01,6.735063e+00,7.353357e+00
"ENSG00000168209",  643.97383, 2.7139671, 1.739823e-75, 6.627454e-73,"DDIT4","protein_coding",4.728333e+01,5.012198e+01,8.283354e+00,8.141217e+00
"ENSG00000116285", 1716.86236, 2.7046457, 2.310066e-99, 1.336245e-96,"ERRFI1","protein_coding",1.418500e+02,1.166346e+02,2.252763e+01,2.184998e+01
"ENSG00000189343",   47.02025, 2.7008335, 2.071548e-08, 4.695710e-07,"RPS2P46","processed_pseudogene",3.660120e+00,3.404811e+00,6.967307e-01,5.515018e-01
"ENSG00000300209",   27.99137, 2.6872420, 3.276938e-05, 3.859670e-04,"","lncRNA",2.087624e+00,2.058723e+00,6.193162e-01,2.100959e-01
"ENSG00000302221",   48.25659, 2.6734359, 2.509097e-08, 5.622248e-07,"","lncRNA",3.958352e+00,3.246447e+00,7.741452e-01,5.515018e-01
"ENSG00000290710",  309.14145, 2.6706383, 8.376431e-40, 1.391735e-37,"HLA-V","lncRNA",2.122870e+01,2.533813e+01,4.412628e+00,3.781727e+00
"ENSG00000140009",  170.07508, 2.6103442, 1.437331e-22, 1.268262e-20,"ESR2","protein_coding",1.152260e+01,1.385679e+01,2.864337e+00,1.943387e+00
"ENSG00000111700",  365.14877, 2.6023780, 6.501107e-36, 9.669932e-34,"SLCO1B3","protein_coding",3.093479e+01,2.327940e+01,5.806089e+00,4.490800e+00
"ENSG00000266256",   34.35580, 2.5782269, 3.954159e-06, 5.837057e-05,"LINC00683","lncRNA",2.223184e+00,2.929721e+00,4.644871e-01,4.727158e-01
"ENSG00000104765", 2589.50389, 2.5409467,6.456593e-125,7.756851e-122,"BNIP3L","protein_coding",2.037738e+02,1.801382e+02,3.855243e+01,3.547995e+01
"ENSG00000109107",  192.74344, 2.5113634, 3.976697e-23, 3.610933e-21,"ALDOC","protein_coding",1.314932e+01,1.528206e+01,3.561068e+00,2.258531e+00
"ENSG00000289850",   33.29087, 2.5081728, 2.211456e-05, 2.715292e-04,"","lncRNA",3.172104e+00,1.741996e+00,3.870726e-01,5.515018e-01
"ENSG00000151640",   56.87486, 2.4608584, 2.421238e-08, 5.433175e-07,"DPYSL4","protein_coding",3.877016e+00,4.592535e+00,6.193162e-01,9.716936e-01
"ENSG00000170525",  941.26380, 2.4604382, 4.835800e-73, 1.756408e-70,"PFKFB3","protein_coding",7.200948e+01,6.611667e+01,1.625705e+01,1.244818e+01
"ENSG00000224094",   54.27367, 2.4584566, 3.452712e-08, 7.594994e-07,"RPS24P8","processed_pseudogene",4.473480e+00,3.483992e+00,8.515597e-01,7.878597e-01
"ENSG00000134802",  186.03421, 2.4369808, 7.607848e-23, 6.751100e-21,"SLC43A3","protein_coding",1.382712e+01,1.338170e+01,3.328824e+00,2.468627e+00
"ENSG00000138764",  423.59003, 2.4029186, 7.699749e-44, 1.448852e-41,"CCNG2","protein_coding",3.172104e+01,3.008902e+01,7.354380e+00,5.961472e+00
"ENSG00000200488",  324.66132, 2.3916512, 1.352394e-28, 1.519546e-26,"RN7SKP203","misc_RNA",2.293675e+01,2.486304e+01,3.870726e+00,5.777638e+00
"ENSG00000202058",  326.18912, 2.3699718, 1.562094e-05, 1.979580e-04,"RN7SKP80","misc_RNA",2.160827e+01,2.612994e+01,3.328824e+00,6.670546e+00
"ENSG00000114023", 2345.92404, 2.3547215,1.070814e-122,1.194569e-119,"FAM162A","protein_coding",1.749809e+02,1.660439e+02,4.010072e+01,3.495471e+01
"ENSG00000263740", 1874.91407, 2.3534702, 4.490079e-10, 1.330665e-08,"RN7SL4P","misc_RNA",1.354516e+02,1.375385e+02,2.314694e+01,3.569004e+01
"ENSG00000235508",   51.05181, 2.3509769, 2.641749e-07, 4.958995e-06,"RPS2P7","processed_pseudogene",3.497448e+00,3.879900e+00,1.083803e+00,6.302878e-01
"ENSG00000288928",  157.42010, 2.3458177, 2.929891e-16, 1.622661e-14,"","lncRNA",1.152260e+01,1.156052e+01,1.780534e+00,2.967605e+00
"ENSG00000150995",  491.13468, 2.3405534, 1.702000e-46, 3.497610e-44,"ITPR1","protein_coding",3.722478e+01,3.404811e+01,8.205939e+00,7.589715e+00
"ENSG00000196968", 1684.68341, 2.3284667,1.876920e-110,1.628541e-107,"FUT11","protein_coding",1.215160e+02,1.228107e+02,2.934010e+01,2.539534e+01
"ENSG00000117394", 1950.22689, 2.3115588,6.238406e-102, 3.897257e-99,"SLC2A1","protein_coding",1.295683e+02,1.532957e+02,3.452688e+01,2.936091e+01
"ENSG00000185033", 1388.09867, 2.3108983, 1.620845e-94, 8.438117e-92,"SEMA4B","protein_coding",9.505468e+01,1.061034e+02,2.454040e+01,2.098333e+01
"ENSG00000230479",  217.16812, 2.3108981, 1.331430e-24, 1.291569e-22,"LNCTSI","lncRNA",1.496583e+01,1.654896e+01,3.638483e+00,3.414059e+00
"ENSG00000287023",   32.92225, 2.3105698, 4.605099e-05, 5.230723e-04,"","lncRNA",2.656976e+00,2.137904e+00,3.870726e-01,6.302878e-01
"ENSG00000241529",   96.46853, 2.3094799, 9.643182e-11, 3.092551e-09,"RN7SL767P","misc_RNA",6.696664e+00,7.443074e+00,1.006389e+00,1.917125e+00
"ENSG00000111674", 2165.14734, 2.2897086,6.729124e-105,4.777067e-102,"ENO2","protein_coding",1.469471e+02,1.658855e+02,4.033297e+01,3.190832e+01
"ENSG00000119950", 1329.50715, 2.2873887, 7.188524e-94, 3.508449e-91,"MXI1","protein_coding",9.356352e+01,9.866033e+01,2.252763e+01,2.132474e+01
"ENSG00000061656",  255.38232, 2.2848043, 5.548478e-24, 5.283910e-22,"SPAG4","protein_coding",1.542673e+01,2.161659e+01,4.490042e+00,3.939299e+00
"ENSG00000115461",  675.64281, 2.2689398, 2.649919e-11, 9.136078e-10,"IGFBP5","protein_coding",5.660986e+01,4.046182e+01,1.006389e+01,1.231687e+01
"ENSG00000163516",  895.50887, 2.2490858, 3.817357e-71, 1.296076e-68,"ANKZF1","protein_coding",6.214071e+01,6.675012e+01,1.571515e+01,1.452288e+01
"ENSG00000214391",   33.87516, 2.2477540, 5.214944e-05, 5.842554e-04,"TUBAP2","processed_pseudogene",2.467192e+00,2.454631e+00,3.870726e-01,6.828118e-01
"ENSG00000234851",   61.22164, 2.2371992, 3.575859e-08, 7.832786e-07,"RPL23AP42","processed_pseudogene",4.283696e+00,4.513354e+00,1.083803e+00,9.979556e-01
"ENSG00000173376",   68.99230, 2.2181870, 1.557455e-08, 3.608952e-07,"NDNF","protein_coding",5.042832e+00,4.750899e+00,1.548290e+00,9.454317e-01
"ENSG00000235587",  130.67308, 2.2176946, 2.613091e-12, 1.010180e-10,"GAPDHP65","processed_pseudogene",8.079377e+00,1.053116e+01,3.173995e+00,1.575719e+00
"ENSG00000182580",  111.90174, 2.1874718, 1.629353e-11, 5.757294e-10,"EPHB3","protein_coding",7.022008e+00,8.868344e+00,2.632094e+00,1.470671e+00
"ENSG00000152952", 3646.91953, 2.1855544,1.007468e-102,6.841148e-100,"PLOD2","protein_coding",2.767864e+02,2.424542e+02,6.781512e+01,6.053389e+01
"ENSG00000100311",  688.85059, 2.1796283, 4.287433e-53, 1.062875e-50,"PDGFB","protein_coding",4.549394e+01,5.297252e+01,1.238632e+01,1.171285e+01
"ENSG00000166920",  223.55130, 2.1709173, 8.156106e-22, 6.960768e-20,"C15orf48","protein_coding",1.450492e+01,1.749914e+01,3.793312e+00,3.965561e+00
"ENSG00000164096",  669.41535, 2.1685678, 2.494097e-54, 6.385706e-52,"C4orf3","protein_coding",4.774424e+01,4.750899e+01,1.246374e+01,1.129266e+01
"ENSG00000152256", 1024.56870, 2.1472164, 8.290593e-68, 2.642500e-65,"PDK1","protein_coding",6.943384e+01,7.593519e+01,2.059226e+01,1.651879e+01
"ENSG00000296622",  656.47570, 2.1337098, 1.019125e-40, 1.730075e-38,"","lncRNA",5.132302e+01,4.149118e+01,1.192184e+01,1.176537e+01
"ENSG00000163235", 1253.29535, 2.1321408, 4.127554e-77, 1.652927e-74,"TGFA","protein_coding",9.055409e+01,8.686226e+01,2.384367e+01,2.158736e+01
"ENSG00000059804",   36.91384, 2.1236315, 5.022531e-05, 5.643302e-04,"SLC2A3","protein_coding",2.168960e+00,3.088084e+00,6.967307e-01,6.302878e-01
"ENSG00000178726",  274.25999, 2.1215666, 1.527680e-25, 1.529443e-23,"THBD","protein_coding",2.008999e+01,1.868687e+01,5.109358e+00,4.858468e+00
"ENSG00000261780",  390.07853, 2.1158060, 6.928101e-05, 7.457139e-04,"LINC02582","lncRNA",3.416112e+01,2.074559e+01,5.496431e+00,8.508885e+00
"ENSG00000151715",   38.61976, 2.0952218, 6.416501e-05, 6.973758e-04,"TMEM45B","protein_coding",3.226328e+00,2.137904e+00,9.289743e-01,5.777638e-01
"ENSG00000057657",   69.13895, 2.0885420, 3.565527e-08, 7.821123e-07,"PRDM1","protein_coding",4.690376e+00,5.067625e+00,1.316047e+00,1.234314e+00
"ENSG00000120129",  730.00696, 2.0774969, 6.019460e-54, 1.516321e-51,"DUSP1","protein_coding",5.118746e+01,5.146807e+01,1.439910e+01,1.289464e+01
"ENSG00000113369", 1201.82585, 2.0773839, 1.578063e-74, 5.868140e-72,"ARRDC3","protein_coding",8.225781e+01,8.702062e+01,2.291470e+01,2.174493e+01
"ENSG00000286162",  249.26540, 2.0717061, 1.604547e-22, 1.407855e-20,"","lncRNA",1.599608e+01,1.916196e+01,4.799700e+00,4.464538e+00
"ENSG00000133639",  717.89065, 2.0637626, 5.714778e-52, 1.394584e-49,"BTG1","protein_coding",4.790691e+01,5.297252e+01,1.447652e+01,1.257949e+01
"ENSG00000188910",  257.57515, 2.0581385, 1.103717e-23, 1.038425e-21,"GJB3","protein_coding",1.805659e+01,1.805341e+01,5.186773e+00,4.569586e+00
"ENSG00000130640", 2591.10497, 2.0541174,2.709910e-106,2.116169e-103,"TUBGCP2","protein_coding",1.827891e+02,1.805341e+02,5.070651e+01,4.716653e+01
"ENSG00000249992", 1132.87077, 2.0525516, 5.690399e-67, 1.742601e-64,"TMEM158","protein_coding",7.829946e+01,8.029018e+01,2.407592e+01,1.925004e+01
"ENSG00000117298", 1948.20758, 2.0393088, 1.554010e-95, 8.369148e-93,"ECE1","protein_coding",1.326590e+02,1.400723e+02,3.955882e+01,3.484966e+01
"ENSG00000273812",  343.81961, 2.0391342, 8.622712e-24, 8.161789e-22,"LINC02970","lncRNA",2.589196e+01,2.232922e+01,5.651260e+00,7.143261e+00
"ENSG00000163435",   66.30257, 2.0290693, 2.877403e-07, 5.349915e-06,"ELF3","protein_coding",4.446368e+00,4.909262e+00,1.006389e+00,1.418147e+00
"ENSG00000289634",   36.76468, 2.0268648, 8.338670e-05, 8.769922e-04,"","lncRNA",2.738312e+00,2.375449e+00,7.741452e-01,6.565498e-01
"ENSG00000107551",  721.77788, 2.0258211, 2.629342e-40, 4.415599e-38,"RASSF4","protein_coding",4.362321e+01,5.748587e+01,1.525066e+01,1.255323e+01
"ENSG00000102144", 1576.68919, 2.0215179, 7.676226e-67, 2.305525e-64,"PGK1","protein_coding",1.156598e+02,1.043614e+02,2.995942e+01,3.041138e+01
"ENSG00000247095",   73.55756, 2.0178957, 7.421645e-08, 1.547547e-06,"MIR210HG","lncRNA",4.581928e+00,5.780260e+00,1.238632e+00,1.496933e+00
"ENSG00000136826",  237.39052, 2.0134131, 1.351762e-20, 1.050339e-18,"KLF4","protein_coding",1.740591e+01,1.559878e+01,4.954529e+00,4.306966e+00
"ENSG00000173281",  105.57214, 2.0113259, 8.688048e-11, 2.803511e-09,"PPP1R3B","protein_coding",7.103344e+00,7.680619e+00,1.935363e+00,2.074697e+00
"ENSG00000231890",   61.45179, 2.0041508, 7.204381e-07, 1.243293e-05,"DARS1-AS1","lncRNA",3.877016e+00,4.750899e+00,1.083803e+00,1.234314e+00
"ENSG00000104368", 2561.20762, 1.9924917, 6.192268e-93, 2.844437e-90,"PLAT","protein_coding",1.685282e+02,1.883731e+02,5.024202e+01,4.937254e+01
"ENSG00000205129",   80.72552, 1.9868272, 6.243070e-08, 1.319408e-06,"CFAP96","protein_coding",5.476624e+00,5.859442e+00,1.161218e+00,1.838339e+00
"ENSG00000086696",   53.35896, 1.9639920, 8.358733e-06, 1.141142e-04,"HSD17B2","protein_coding",4.337920e+00,3.008902e+00,1.083803e+00,1.050480e+00
"ENSG00000128039",  156.33116, 1.9577046, 2.816782e-14, 1.293897e-12,"SRD5A3","protein_coding",1.117014e+01,1.045198e+01,3.173995e+00,3.046391e+00
"ENSG00000241506",   62.40178, 1.9484340, 1.297074e-05, 1.686737e-04,"PSMC1P1","processed_pseudogene",4.283696e+00,4.196627e+00,2.012778e+00,7.090737e-01
"ENSG00000110852",  451.17537, 1.9228287, 4.910069e-33, 6.285693e-31,"CLEC2B","protein_coding",3.074501e+01,3.143511e+01,9.367157e+00,8.902815e+00
"ENSG00000297753",   70.45765, 1.9198399, 2.360982e-07, 4.502297e-06,"","lncRNA",4.853048e+00,4.830080e+00,1.548290e+00,1.339362e+00
"ENSG00000255346",  240.00787, 1.9177550, 5.046819e-19, 3.472300e-17,"NOX5","protein_coding",1.718901e+01,1.567797e+01,5.573846e+00,4.385752e+00
"ENSG00000131398",  226.24039, 1.9125892, 9.018190e-18, 5.656469e-16,"KCNC3","protein_coding",1.626720e+01,1.488615e+01,4.335213e+00,4.779682e+00
"ENSG00000175265",  106.20850, 1.9092871, 2.005194e-09, 5.418186e-08,"GOLGA8A","protein_coding",8.133601e+00,6.334531e+00,2.554679e+00,1.917125e+00
"ENSG00000143590",   77.85366, 1.9090975, 1.828687e-07, 3.547879e-06,"EFNA3","protein_coding",4.636152e+00,6.176168e+00,1.393461e+00,1.680767e+00
"ENSG00000289513",   95.74228, 1.9054692, 4.290651e-09, 1.098547e-07,"","lncRNA",6.967784e+00,6.176168e+00,1.935363e+00,1.969649e+00
"ENSG00000259207", 8396.70499, 1.9045097, 2.218491e-94, 1.117690e-91,"ITGB3","protein_coding",6.106436e+02,5.407314e+02,1.784405e+02,1.663434e+02
"ENSG00000184731",   46.02397, 1.9018965, 3.481441e-05, 4.079006e-04,"FAM110C","protein_coding",3.253440e+00,3.088084e+00,8.515597e-01,9.979556e-01
